date,mv_lstm_only_return,mv_lstm_only_equity,mv_lstm_only_pnl,mv_lstm_only_drawdown,mv_lstm_only_rolling_sharpe_30d,mv_lstm_only_turnover,mv_lstm_twitter_return,mv_lstm_twitter_equity,mv_lstm_twitter_pnl,mv_lstm_twitter_drawdown,mv_lstm_twitter_rolling_sharpe_30d,mv_lstm_twitter_turnover,lower_lstm_twitter_return,lower_lstm_twitter_equity,lower_lstm_twitter_pnl,lower_lstm_twitter_drawdown,lower_lstm_twitter_rolling_sharpe_30d,lower_lstm_twitter_turnover,vvv_xpl_lstm_twitter_return,vvv_xpl_lstm_twitter_equity,vvv_xpl_lstm_twitter_pnl,vvv_xpl_lstm_twitter_drawdown,vvv_xpl_lstm_twitter_rolling_sharpe_30d,vvv_xpl_lstm_twitter_turnover
2026-04-07 00:00:00+00:00,0.04685761549348631,1.0468576154934863,0.046857615493486326,0.0,,0.9999999999999999,0.04057420860459761,1.0405742086045977,0.040574208604597706,0.0,,1.0,-0.052709773311764005,0.947290226688236,-0.05270977331176396,0.0,,0.9999999999999999,0.06356262635588646,1.0635626263558864,0.06356262635588639,0.0,,1.0
2026-04-08 00:00:00+00:00,-0.011758637627027928,1.034547996145804,0.03454799614580395,-0.01175863762702789,,0.9999999999999999,-0.024129612260063486,1.0154655564231463,0.015465556423146287,-0.024129612260063493,,0.857142857142857,-0.011094958410908778,0.9367800810200697,-0.06321991897993029,-0.011094958410908795,,1.2499999999999998,-0.045740192419290546,1.0149150671764022,0.01491506717640223,-0.045740192419290504,,1.0
2026-04-09 00:00:00+00:00,0.012666081377698315,1.0476516652541215,0.047651665254121456,0.0,,0.8888888888888888,0.013181692773316588,1.0288511114098011,0.028851111409801122,-0.01126598862229844,,1.1428571428571428,0.014352323170219146,0.9502250514822939,-0.04977494851770614,0.0,,1.4285714285714284,0.11147034913301468,1.1280480040549128,0.1280480040549128,0.0,,0.0
2026-04-10 00:00:00+00:00,-0.031236911608309794,1.01492626279028,0.014926262790279976,-0.03123691160830977,,0.6666666666666667,-0.03126607827497646,0.9966829720271657,-0.0033170279728342855,-0.042179823615165146,,0.75,-0.0034453723584434823,0.9469511723556162,-0.05304882764438379,-0.0034453723584435547,,0.5714285714285714,-0.026187066350504756,1.0985077361261724,0.09850773612617236,-0.026187066350504717,,1.0
2026-04-11 00:00:00+00:00,-0.009998901965445839,1.0047781145864836,0.004778114586483584,-0.04092347875688085,,0.0,0.004908561075611837,1.0015752512683835,0.0015752512683835374,-0.03747830477992675,,0.24999999999999994,0.010371497448533775,0.9567724740235886,-0.04322752597641144,0.0,,1.4285714285714288,0.032251182943582535,1.1339359100889181,0.13393591008891814,0.0,,0.0
2026-04-12 00:00:00+00:00,0.018435771279782055,1.0233019740939306,0.023301974093930644,-0.0232421633714337,,0.5,0.01558902005420791,1.0171888279462047,0.017188827946204688,-0.022473534770530823,,0.4444444444444444,-0.014398447093437426,0.9429964361759027,-0.057003563824097325,-0.014398447093437405,,1.25,0.025491368025541306,1.1628414876903719,0.16284148769037188,0.0,,0.0
2026-04-13 00:00:00+00:00,0.026277919986950497,1.0501922214916595,0.05019222149165947,0.0,,1.25,0.0417846645383726,1.0596917218941173,0.05969172189411731,0.0,,0.8888888888888888,-0.06103380674384534,0.8854417739302077,-0.11455822606979227,-0.07455346179997047,,0.75,0.12398326616883278,1.3070143733708486,0.3070143733708486,0.0,,1.0
2026-04-14 00:00:00+00:00,3.186504077166318e-05,1.0502256859096153,0.05022568590961529,0.0,,1.25,-0.0013671074471303406,1.0582430094494535,0.05824300944945349,-0.0013671074471303113,,1.1428571428571428,-0.030005980094894767,0.8588732256864696,-0.14112677431353038,-0.10232239220408978,,1.25,0.016538961661607027,1.3286310339831984,0.3286310339831984,0.0,,1.0
2026-04-15 00:00:00+00:00,-0.003912390655651688,1.046116792749737,0.04611679274973701,-0.003912390655651854,,0.75,-0.002204819237440825,1.055909774904332,0.05590977490433202,-0.003568912459772089,,1.1428571428571428,-0.03681566508611044,0.8272532366581692,-0.1727467633418308,-0.13537099036800482,,1.2499999999999998,-0.0389472373187542,1.276884525793593,0.276884525793593,-0.03894723731875416,,1.0
2026-04-16 00:00:00+00:00,0.004978286717745608,1.0513246620842938,0.05132466208429376,0.0,,1.0,0.010718509747979697,1.067227554119631,0.067227554119631,0.0,,1.2,-0.011585606239523205,0.8176690063978765,-0.18233099360212346,-0.14538824161687003,,0.8571428571428572,0.006430497600883245,1.2850955286733137,0.28509552867331367,-0.03276718983401017,,2.0
