date,return,equity,pnl,rolling_sharpe_90d,fee_drag,funding_pnl,weight_BTC,weight_ETH,weight_SOL,weight_AVAX,weight_DOGE
2020-11-23 00:00:00+00:00,0.03175128466308452,1.0317512846630845,0.03175128466308452,,0.00035,-0.0021750684595,0.19321885746651613,0.21061639812671845,-0.20570928898677918,0.20260027642047304,0.21382724728409855
2020-11-24 00:00:00+00:00,0.04806205404303743,1.081339370665535,0.08133937066553498,,0.0,-0.0017849365525574867,0.19235724489493916,0.19983623476533596,-0.19686058501306225,0.20234364167912827,0.23625585187873657
2020-11-25 00:00:00+00:00,-0.057298738265338156,1.019379989089765,0.019379989089765015,,0.0,-0.0017432895173055839,0.19938950497476432,0.19940822110922823,-0.2068102180721706,0.20324490503243187,0.2182991084822746
2020-11-26 00:00:00+00:00,-0.05548611481974364,0.9628185539701813,-0.037181446029818654,,0.0,-0.0016162804639308932,0.19323464401477894,0.192766684758772,-0.18379728285194027,0.1882732814627685,0.2020620687557916
2020-11-27 00:00:00+00:00,0.006400291524047752,0.9689808734003527,-0.03101912659964734,,0.0,-0.00152222728869201,0.19187995106519357,0.1910511010726602,-0.17807997015442903,0.18953426658406902,0.20225787581353039
2020-11-28 00:00:00+00:00,0.019621311916487416,0.9879935493584514,-0.012006450641548594,,0.0,-0.000783846420443501,0.19448420130048277,0.19406909424112614,-0.17712819379859202,0.18830312464271867,0.20544584707311217
2020-11-29 00:00:00+00:00,0.02230802745947913,1.010033736587328,0.01003373658732798,,0.0,-0.0009095561836776195,0.1952154332859349,0.20358105600881332,-0.17576702456780932,0.18784584407856028,0.20380406396985737
2020-11-30 00:00:00+00:00,0.03214943479918686,1.0425057503467214,0.04250575034672144,,0.00011581565884450601,-0.0008457940195993819,0.2101474427462454,0.2075433900529727,-0.19879130238133166,-0.1034253706676121,0.20078207518071403
2020-12-01 00:00:00+00:00,-0.032391321376576965,1.0087376115503113,0.008737611550311275,,0.0,-0.0011753128741723233,0.20674936475523042,0.20356881631090584,-0.20654713400483954,-0.10256020307769279,0.19337128691883756
2020-12-02 00:00:00+00:00,-0.01044622447963739,0.9982001120190035,-0.0017998879809965063,,0.0,-0.0007581734223950238,0.21376559417985327,0.20957249775577994,-0.2242536142853396,-0.10882881133785986,0.1976458979005732
2020-12-03 00:00:00+00:00,0.012040623581739851,1.010219063827075,0.010219063827074937,,0.0,-0.0002605152003083426,0.2137218873589707,0.21375328916211134,-0.21979488928927612,-0.10988599965556783,0.19883679224405584
2020-12-04 00:00:00+00:00,0.0007854047113686757,1.011012494639319,0.011012494639319081,,0.0,-0.0005059965518739331,0.20509190298323338,0.19676766999996353,-0.19319111499181213,-0.10171097950993487,0.1907311965142239
2020-12-05 00:00:00+00:00,0.004865408651070657,1.0159314835770779,0.015931483577077854,,0.0,-0.00028365846248665336,0.2093852277940683,0.20591821245942285,-0.2059280164727677,-0.1042213726504864,0.19621739573423405
2020-12-06 00:00:00+00:00,0.017997543156195617,1.0342157542964943,0.03421575429649426,,0.0,-0.00011625103898057641,0.2081261585669694,0.20393464147518434,-0.18938865920776063,-0.10118652338723352,0.19235132961375045
2020-12-07 00:00:00+00:00,-0.01386437675949237,1.019876997428325,0.01987699742832505,,8.877906621790467e-05,3.9754022086401494e-05,0.2006781019486343,0.1994176634123001,-0.19698159601782514,0.11948792982683296,0.19980367684741984
2020-12-08 00:00:00+00:00,-0.022180422603794936,0.9972556946214753,-0.0027443053785246585,,0.0,0.0002558117251003064,0.1960935240149777,0.19130511011032697,-0.18293305467680437,0.11260053229932661,0.19424451574013446
2020-12-09 00:00:00+00:00,0.013059464289569611,1.0102793197529545,0.010279319752954486,,0.0,2.9289425186925233e-05,0.1958760662105984,0.19499562076374047,-0.1798793640196717,0.1164183189833581,0.19017082374627167
