coin,universe,lstm_only_return_pct,lstm_twitter_return_pct,lstm_twitter_sharpe,lstm_twitter_mdd_pct,lstm_twitter_calmar
VVV,MV,418.3126778177252,372.11146041268063,7.15560677787237,-20.245839655399323,34495.48937796888
XPL,MV,111.2517562838926,152.17813788275015,5.74076765924475,-11.965136307805535,1624.9577827669088
PENGU,Lower-cap,34.02292698929914,63.62822393140108,3.6366024889559796,-20.96150688765148,74.34049020845188
HYPE,MV,12.212103228035565,34.61186960538476,2.402878538619262,-14.72808367520695,30.195816710466183
BRETT,Lower-cap,7.0303674911408764,22.964127326298534,1.7669563783124314,-21.188910252235218,10.62350465780618
POPCAT,Lower-cap,-22.349230982903723,15.988025323387012,1.5575114647744996,-29.054819559312417,4.577560308969793
BTC,MV,-10.97766793266899,6.646073629920357,1.177071177616782,-7.6589584600112115,5.788708338301304
PAXG,MV,-5.071901762109721,-0.5065135060769776,-0.04680790969726003,-7.551250913863927,-0.37801907144423647
TON,MV,-3.9678014118373683,-1.7496819685170473,0.5252265462512928,-39.179399397639294,-0.24443579631430282
SPX,Lower-cap,6.020981322221486,-6.38452319038324,0.0377912963650278,-32.150437780210126,-0.9753415834853293
WLFI,MV,-20.652127802298857,-6.6394086310125005,-0.06133441322273478,-28.549491435005912,-1.1354571047743418
TRX,MV,-14.528282441539208,-8.925366549159818,-2.533928010392494,-9.612740239160257,-4.299187745309356
WIF,Lower-cap,6.391471992634523,-23.48910901190271,-2.042095616953504,-29.394784643765025,-2.663058474375723
MELANIA,Lower-cap,-26.448481031719396,-30.509779190095585,-3.6176437170609006,-34.425417586975705,-2.540419112059968
FARTCOIN,Lower-cap,-34.22197818283581,-30.535149583681832,-1.5767619724169595,-40.53091541683923,-2.1583792599401264
ZRO,MV,-35.61159924580354,-44.74842337467487,-3.159258603133574,-57.85819557872634,-1.6697235288343708
PNUT,Lower-cap,-51.62268458771361,-49.54096212683963,-2.0598525194578747,-58.583748016589055,-1.6724399650694197
