date,close,regime,regime_raw,cluster,confidence,active_regimes,refit_date,price_return,signal_regime,signal,position,turnover,fee_return,funding,funding_return,strategy_return_gross,strategy_return,strategy_equity,buy_hold_equity,short_hold_equity,drawdown
2020-09-23 00:00:00+00:00,10237.91,unlabeled,unlabeled,-1,,,,0.0,unlabeled,0.0,0.0,0.0,-0.0,-3.789e-05,0.0,0.0,0.0,1.0,1.0,0.99996211,0.0
2020-09-24 00:00:00+00:00,10724.92,unlabeled,unlabeled,-1,,,,0.047569279276727494,unlabeled,0.0,0.0,0.0,-0.0,0.0001199,-0.0,0.0,0.0,1.0,1.0475692792767275,0.9525145285802533,0.0
2020-09-25 00:00:00+00:00,10683.51,unlabeled,unlabeled,-1,,,,-0.0038611010618261332,unlabeled,0.0,0.0,0.0,-0.0,-0.00010677000000000001,0.0,-0.0,0.0,1.0,1.0435245084201756,0.9560905834617429,0.0
2020-09-26 00:00:00+00:00,10726.5,unlabeled,unlabeled,-1,,,,0.004023958418160278,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.0477236076503895,0.9525301418849368,0.0
2020-09-27 00:00:00+00:00,10768.0,unlabeled,unlabeled,-1,,,,0.003868922761385285,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.0517771693636688,0.949130635380658,0.0
2020-09-28 00:00:00+00:00,10691.45,unlabeled,unlabeled,-1,,,,-0.007109026745913738,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.0443000573359211,0.9561627696435594,0.0
2020-09-29 00:00:00+00:00,10836.98,unlabeled,unlabeled,-1,,,,0.013611811307165933,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.0585148726644402,0.9434345112751271,0.0
2020-09-30 00:00:00+00:00,10773.0,unlabeled,unlabeled,-1,,,,-0.0059038588241373535,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.0522655502929796,0.949287445792897,0.0
2020-10-01 00:00:00+00:00,10612.63,unlabeled,unlabeled,-1,,,,-0.01488628979857054,unlabeled,0.0,0.0,0.0,-0.0,0.00027412,-0.0,-0.0,-0.0,1.0,1.036601220366266,0.9636790324877558,0.0
2020-10-02 00:00:00+00:00,10565.15,unlabeled,unlabeled,-1,,,,-0.004473914571600068,unlabeled,0.0,0.0,0.0,-0.0,8.085e-05,-0.0,-0.0,-0.0,1.0,1.031963555061531,0.9680683636033249,0.0
2020-10-03 00:00:00+00:00,10537.96,unlabeled,unlabeled,-1,,,,-0.0025735555103335583,unlabeled,0.0,0.0,0.0,-0.0,0.00029749,-0.0,-0.0,-0.0,1.0,1.0293077395679389,0.9708477319323442,0.0
2020-10-04 00:00:00+00:00,10660.16,unlabeled,unlabeled,-1,,,,0.011596172314186193,unlabeled,0.0,0.0,0.0,-0.0,2.1389999999999997e-05,-0.0,0.0,0.0,1.0,1.041243769480294,0.9596103807750059,0.0
2020-10-05 00:00:00+00:00,10785.0,unlabeled,unlabeled,-1,,,,0.011710893645123566,unlabeled,0.0,0.0,0.0,-0.0,-0.00019436,0.0,0.0,0.0,1.0,1.0534376645233254,0.948185975791386,0.0
2020-10-06 00:00:00+00:00,10593.65,unlabeled,unlabeled,-1,,,,-0.017742234585071848,unlabeled,0.0,0.0,0.0,-0.0,-1.5020000000000002e-05,0.0,-0.0,0.0,1.0,1.0347473263586024,0.9649946720507957,0.0
2020-10-07 00:00:00+00:00,10658.75,unlabeled,unlabeled,-1,,,,0.006145190751063234,unlabeled,0.0,0.0,0.0,-0.0,1.206e-05,-0.0,0.0,0.0,1.0,1.0411060460582287,0.9590762335530287,0.0
2020-10-08 00:00:00+00:00,10919.45,unlabeled,unlabeled,-1,,,,0.02445877799929641,unlabeled,0.0,0.0,0.0,-0.0,0.00014797,-0.0,0.0,0.0,1.0,1.0665702277124922,0.9357603153824327,0.0
2020-10-09 00:00:00+00:00,11050.47,unlabeled,unlabeled,-1,,,,0.011998772831964821,unlabeled,0.0,0.0,0.0,-0.0,0.00026128,-0.0,0.0,0.0,1.0,1.0793677615841515,0.9247768353881942,0.0
2020-10-10 00:00:00+00:00,11294.79,unlabeled,unlabeled,-1,,,,0.02210946683715731,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.103232007313993,0.9046079456650241,0.0
2020-10-11 00:00:00+00:00,11369.59,unlabeled,unlabeled,-1,,,,0.006622522419628796,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.110538186016482,0.8988885416475826,0.0
2020-10-12 00:00:00+00:00,11530.36,unlabeled,unlabeled,-1,,,,0.014140351586996669,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.1262415864175406,0.8864476081936573,0.0
2020-10-13 00:00:00+00:00,11419.36,unlabeled,unlabeled,-1,,,,-0.00962675926857448,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.1153995297868415,0.8952471602043994,0.0
2020-10-14 00:00:00+00:00,11417.13,unlabeled,unlabeled,-1,,,,-0.00019528239761257282,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.1151817118923688,0.8956905603643612,0.0
2020-10-15 00:00:00+00:00,11502.0,unlabeled,unlabeled,-1,,,,0.007433566929692548,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.12347148978649,0.8893010918037082,0.0
2020-10-16 00:00:00+00:00,11318.92,unlabeled,unlabeled,-1,,,,-0.01591723178577642,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.105588933678847,0.9037230937368328,0.0
2020-10-17 00:00:00+00:00,11356.25,unlabeled,unlabeled,-1,,,,0.00329801783209005,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.1092351856970812,0.9010137157865381,0.0
2020-10-18 00:00:00+00:00,11501.1,unlabeled,unlabeled,-1,,,,0.012755090809025926,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.1233835812192143,0.8897915081362389,0.0
2020-10-19 00:00:00+00:00,11745.0,unlabeled,unlabeled,-1,,,,0.021206667188355954,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.1472068029509936,0.8711889332086091,0.0
2020-10-20 00:00:00+00:00,11900.03,unlabeled,unlabeled,-1,,,,0.013199659429544486,unlabeled,0.0,0.0,0.0,-0.0,0.00023742000000000001,-0.0,0.0,0.0,1.0,1.1623495420452032,0.8598963736679898,0.0
2020-10-21 00:00:00+00:00,12796.07,unlabeled,unlabeled,-1,,,,0.0752972891664978,unlabeled,0.0,0.0,0.0,-0.0,0.00019778,-0.0,0.0,0.0,1.0,1.2498713116251272,0.7953185780714723,0.0
2020-10-22 00:00:00+00:00,12968.87,unlabeled,unlabeled,-1,,,,0.01350414619488638,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.2667497565421073,0.7848170752951075,0.0
2020-10-23 00:00:00+00:00,12925.82,unlabeled,unlabeled,-1,,,,-0.003319487357032691,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.2625447967407415,0.7876577107767215,0.0
2020-10-24 00:00:00+00:00,13110.88,unlabeled,unlabeled,-1,,,,0.014317080076931221,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.2806207516963914,0.7766170495715519,0.0
2020-10-25 00:00:00+00:00,13023.81,unlabeled,unlabeled,-1,,,,-0.006641049265953103,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,-0.0,-0.0,1.0,1.2721160861933738,0.7820075867734072,0.0
2020-10-26 00:00:00+00:00,13047.24,unlabeled,unlabeled,-1,,,,0.0017990127312974558,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.2744046392281239,0.7808353474448626,0.0
2020-10-27 00:00:00+00:00,13629.38,unlabeled,unlabeled,-1,,,,0.044617865540911295,unlabeled,0.0,0.0,0.0,-0.0,0.00025401,-0.0,0.0,0.0,1.0,1.331265854065918,0.7461944808895815,0.0
2020-10-28 00:00:00+00:00,13256.17,unlabeled,unlabeled,-1,,,,-0.027382756955928955,unlabeled,0.0,0.0,0.0,-0.0,0.00023725,-0.0,-0.0,-0.0,1.0,1.2948121247403037,0.7668043776422275,0.0
2020-10-29 00:00:00+00:00,13446.65,unlabeled,unlabeled,-1,,,,0.01436915790910942,unlabeled,0.0,0.0,0.0,-0.0,-0.00037247,0.0,0.0,0.0,1.0,1.3134174846233266,0.7555004328279497,0.0
2020-10-30 00:00:00+00:00,13549.12,unlabeled,unlabeled,-1,,,,0.007620485399709276,unlabeled,0.0,0.0,0.0,-0.0,-0.0002965,0.0,0.0,0.0,1.0,1.3234263633886216,0.7495191469317767,0.0
2020-10-31 00:00:00+00:00,13783.73,unlabeled,unlabeled,-1,,,,0.017315515694008132,unlabeled,0.0,0.0,0.0,-0.0,-0.00032355000000000003,0.0,0.0,0.0,1.0,1.3463421733537415,0.7362983294601302,0.0
2020-11-01 00:00:00+00:00,13752.86,unlabeled,unlabeled,-1,,,,-0.002239596974113578,unlabeled,0.0,0.0,0.0,-0.0,-0.00015525,0.0,-0.0,0.0,1.0,1.343326909496177,0.7378330306551854,0.0
2020-11-02 00:00:00+00:00,13540.54,unlabeled,unlabeled,-1,,,,-0.01543824339082922,unlabeled,0.0,0.0,0.0,-0.0,0.00013323,-0.0,-0.0,-0.0,1.0,1.3225883017139246,0.7493221780589076,0.0
2020-11-03 00:00:00+00:00,14016.55,unlabeled,unlabeled,-1,,,,0.03515443254109507,unlabeled,0.0,0.0,0.0,-0.0,-0.00026112,0.0,0.0,0.0,1.0,1.3690831429461683,0.7227845190916545,0.0
2020-11-04 00:00:00+00:00,14134.31,unlabeled,unlabeled,-1,,,,0.008401496801994757,unlabeled,0.0,0.0,0.0,-0.0,-0.00034255,0.0,0.0,0.0,1.0,1.3805854905932955,0.7164644574289598,0.0
2020-11-05 00:00:00+00:00,15598.75,unlabeled,unlabeled,-1,,,,0.10360887797140439,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.5236264042172678,0.6424473182255829,0.0
2020-11-06 00:00:00+00:00,15590.96,unlabeled,unlabeled,-1,,,,-0.0004993989903037122,unlabeled,0.0,0.0,0.0,-0.0,0.00067605,-0.0,-0.0,-0.0,1.0,1.5228655067294017,0.6432024822771145,0.0
2020-11-07 00:00:00+00:00,14824.34,unlabeled,unlabeled,-1,,,,-0.04917080154140596,unlabeled,0.0,0.0,0.0,-0.0,0.00098752,-0.0,-0.0,-0.0,1.0,1.4479849891237577,0.6754644391994005,0.0
2020-11-08 00:00:00+00:00,15473.2,unlabeled,unlabeled,-1,,,,0.043769908137563096,unlabeled,0.0,0.0,0.0,-0.0,0.00030000000000000003,-0.0,0.0,0.0,1.0,1.511363159082275,0.6461020620772119,0.0
