date,close,regime,regime_raw,cluster,confidence,active_regimes,refit_date
2020-09-23 00:00:00+00:00,10237.91,unlabeled,unlabeled,-1,,,
2020-09-24 00:00:00+00:00,10724.92,unlabeled,unlabeled,-1,,,
2020-09-25 00:00:00+00:00,10683.51,unlabeled,unlabeled,-1,,,
2020-09-26 00:00:00+00:00,10726.5,unlabeled,unlabeled,-1,,,
2020-09-27 00:00:00+00:00,10768.0,unlabeled,unlabeled,-1,,,
2020-09-28 00:00:00+00:00,10691.45,unlabeled,unlabeled,-1,,,
2020-09-29 00:00:00+00:00,10836.98,unlabeled,unlabeled,-1,,,
2020-09-30 00:00:00+00:00,10773.0,unlabeled,unlabeled,-1,,,
2020-10-01 00:00:00+00:00,10612.63,unlabeled,unlabeled,-1,,,
2020-10-02 00:00:00+00:00,10565.15,unlabeled,unlabeled,-1,,,
2020-10-03 00:00:00+00:00,10537.96,unlabeled,unlabeled,-1,,,
2020-10-04 00:00:00+00:00,10660.16,unlabeled,unlabeled,-1,,,
2020-10-05 00:00:00+00:00,10785.0,unlabeled,unlabeled,-1,,,
2020-10-06 00:00:00+00:00,10593.65,unlabeled,unlabeled,-1,,,
2020-10-07 00:00:00+00:00,10658.75,unlabeled,unlabeled,-1,,,
2020-10-08 00:00:00+00:00,10919.45,unlabeled,unlabeled,-1,,,
2020-10-09 00:00:00+00:00,11050.47,unlabeled,unlabeled,-1,,,
2020-10-10 00:00:00+00:00,11294.79,unlabeled,unlabeled,-1,,,
2020-10-11 00:00:00+00:00,11369.59,unlabeled,unlabeled,-1,,,
2020-10-12 00:00:00+00:00,11530.36,unlabeled,unlabeled,-1,,,
2020-10-13 00:00:00+00:00,11419.36,unlabeled,unlabeled,-1,,,
2020-10-14 00:00:00+00:00,11417.13,unlabeled,unlabeled,-1,,,
2020-10-15 00:00:00+00:00,11502.0,unlabeled,unlabeled,-1,,,
2020-10-16 00:00:00+00:00,11318.92,unlabeled,unlabeled,-1,,,
2020-10-17 00:00:00+00:00,11356.25,unlabeled,unlabeled,-1,,,
2020-10-18 00:00:00+00:00,11501.1,unlabeled,unlabeled,-1,,,
2020-10-19 00:00:00+00:00,11745.0,unlabeled,unlabeled,-1,,,
2020-10-20 00:00:00+00:00,11900.03,unlabeled,unlabeled,-1,,,
2020-10-21 00:00:00+00:00,12796.07,unlabeled,unlabeled,-1,,,
2020-10-22 00:00:00+00:00,12968.87,unlabeled,unlabeled,-1,,,
2020-10-23 00:00:00+00:00,12925.82,unlabeled,unlabeled,-1,,,
2020-10-24 00:00:00+00:00,13110.88,unlabeled,unlabeled,-1,,,
2020-10-25 00:00:00+00:00,13023.81,unlabeled,unlabeled,-1,,,
2020-10-26 00:00:00+00:00,13047.24,unlabeled,unlabeled,-1,,,
2020-10-27 00:00:00+00:00,13629.38,unlabeled,unlabeled,-1,,,
2020-10-28 00:00:00+00:00,13256.17,unlabeled,unlabeled,-1,,,
2020-10-29 00:00:00+00:00,13446.65,unlabeled,unlabeled,-1,,,
2020-10-30 00:00:00+00:00,13549.12,unlabeled,unlabeled,-1,,,
2020-10-31 00:00:00+00:00,13783.73,unlabeled,unlabeled,-1,,,
2020-11-01 00:00:00+00:00,13752.86,unlabeled,unlabeled,-1,,,
2020-11-02 00:00:00+00:00,13540.54,unlabeled,unlabeled,-1,,,
2020-11-03 00:00:00+00:00,14016.55,unlabeled,unlabeled,-1,,,
2020-11-04 00:00:00+00:00,14134.31,unlabeled,unlabeled,-1,,,
2020-11-05 00:00:00+00:00,15598.75,unlabeled,unlabeled,-1,,,
2020-11-06 00:00:00+00:00,15590.96,unlabeled,unlabeled,-1,,,
2020-11-07 00:00:00+00:00,14824.34,unlabeled,unlabeled,-1,,,
2020-11-08 00:00:00+00:00,15473.2,unlabeled,unlabeled,-1,,,
2020-11-09 00:00:00+00:00,15328.72,unlabeled,unlabeled,-1,,,
2020-11-10 00:00:00+00:00,15294.68,unlabeled,unlabeled,-1,,,
2020-11-11 00:00:00+00:00,15690.24,unlabeled,unlabeled,-1,,,
2020-11-12 00:00:00+00:00,16289.02,unlabeled,unlabeled,-1,,,
2020-11-13 00:00:00+00:00,16320.54,unlabeled,unlabeled,-1,,,
2020-11-14 00:00:00+00:00,16064.51,unlabeled,unlabeled,-1,,,
2020-11-15 00:00:00+00:00,15952.27,unlabeled,unlabeled,-1,,,
2020-11-16 00:00:00+00:00,16707.07,unlabeled,unlabeled,-1,,,
2020-11-17 00:00:00+00:00,17670.01,unlabeled,unlabeled,-1,,,
2020-11-18 00:00:00+00:00,17788.32,unlabeled,unlabeled,-1,,,
2020-11-19 00:00:00+00:00,17811.68,unlabeled,unlabeled,-1,,,
2020-11-20 00:00:00+00:00,18664.31,unlabeled,unlabeled,-1,,,
2020-11-21 00:00:00+00:00,18721.99,unlabeled,unlabeled,-1,,,
2020-11-22 00:00:00+00:00,18435.2,unlabeled,unlabeled,-1,,,
2020-11-23 00:00:00+00:00,18382.07,unlabeled,unlabeled,-1,,,
2020-11-24 00:00:00+00:00,19179.64,unlabeled,unlabeled,-1,,,
2020-11-25 00:00:00+00:00,18741.67,unlabeled,unlabeled,-1,,,
2020-11-26 00:00:00+00:00,17155.34,unlabeled,unlabeled,-1,,,
2020-11-27 00:00:00+00:00,17144.1,unlabeled,unlabeled,-1,,,
2020-11-28 00:00:00+00:00,17717.74,unlabeled,unlabeled,-1,,,
2020-11-29 00:00:00+00:00,18181.09,unlabeled,unlabeled,-1,,,
2020-11-30 00:00:00+00:00,19720.0,unlabeled,unlabeled,-1,,,
2020-12-01 00:00:00+00:00,18772.7,unlabeled,unlabeled,-1,,,
2020-12-02 00:00:00+00:00,19207.01,unlabeled,unlabeled,-1,,,
2020-12-03 00:00:00+00:00,19434.3,unlabeled,unlabeled,-1,,,
2020-12-04 00:00:00+00:00,18664.2,unlabeled,unlabeled,-1,,,
2020-12-05 00:00:00+00:00,19147.62,unlabeled,unlabeled,-1,,,
2020-12-06 00:00:00+00:00,19375.02,unlabeled,unlabeled,-1,,,
2020-12-07 00:00:00+00:00,19172.88,unlabeled,unlabeled,-1,,,
2020-12-08 00:00:00+00:00,18319.32,unlabeled,unlabeled,-1,,,
2020-12-09 00:00:00+00:00,18537.98,unlabeled,unlabeled,-1,,,
2020-12-10 00:00:00+00:00,18253.51,unlabeled,unlabeled,-1,,,
2020-12-11 00:00:00+00:00,18031.47,unlabeled,unlabeled,-1,,,
2020-12-12 00:00:00+00:00,18800.0,unlabeled,unlabeled,-1,,,
2020-12-13 00:00:00+00:00,19175.07,unlabeled,unlabeled,-1,,,
2020-12-14 00:00:00+00:00,19270.7,unlabeled,unlabeled,-1,,,
